hangul	index	code	donor_jp
쓴	1240	91BE	太
쓸	1239	91BD	多
씀	1238	91BC	他
씁	1237	91BA	村
씌	1236	91B9	損
씨	1235	91B8	尊
씩	1234	91B7	孫
씬	1233	91B6	存
씸	1232	91B5	揃
씹	1231	91B2	卒
씻	1230	91B1	続
아	1229	91B0	族
악	1228	91AF	賊
안	1227	91AE	属
앉	1226	91AD	俗
않	1225	91AC	速
알	1224	91AB	足
암	1223	91AA	測
압	1222	91A9	束
앗	1221	91A7	息
았	1220	91A6	即
앙	1219	91A5	則
앞	1218	91A4	側
애	1217	91A2	造
액	1216	91A1	贈
앵	1215	91A0	蔵
야	1214	919F	臓
약	1213	919E	憎
얄	1212	919D	増
얇	1211	919C	像
얌	1210	919B	騒
얍	1209	9198	遭
양	1208	9197	送
얕	1207	9196	走
얘	1206	9195	装
어	1205	9193	蒼
억	1204	9190	草
언	1203	918D	総
얻	1202	918B	窓
얼	1201	918A	相
얽	1200	9188	争
엄	1199	9187	燥
업	1198	9184	槍
없	1197	9183	巣
엇	1196	9181	早
었	1195	9180	操
엉	1194	917D	挿
엎	1193	917C	掃
에	1192	917B	捜
엑	1191	917A	想
엔	1190	9177	層
엘	1189	9174	奏
엣	1188	9171	倉
엥	1187	916F	双
여	1186	916E	創
역	1185	916D	僧
엮	1184	916C	鼠
연	1183	916A	阻
열	1182	9167	組
염	1181	9166	素
엽	1180	9165	粗
엾	1179	9163	祖
엿	1178	9162	礎
였	1177	9161	疎
영	1176	915F	狙
옆	1175	9155	繕
예	1174	9153	全
옛	1173	9152	然
오	1172	9150	善
옥	1171	914F	前
온	1170	914B	銭
올	1169	9149	選
옮	1168	9144	船
옳	1167	9141	羨
옴	1166	90FC	線
옵	1165	90F6	潜
옷	1164	90F5	染
옹	1163	90F3	浅
와	1162	90F2	泉
완	1161	90EE	扇
왓	1160	90ED	戦
왔	1159	90EC	川
왕	1158	90EA	専
왜	1157	90E9	宣
왠	1156	90E8	占
외	1155	90E7	千
왼	1154	90E6	先
요	1153	90E5	仙
욕	1152	90E2	絶
용	1151	90E1	雪
우	1150	90E0	説
욱	1149	90DF	節
운	1148	90DD	設
울	1147	90DC	折
움	1146	90DA	接
웁	1145	90D9	拙
웃	1144	90D8	切
웅	1143	90D5	跡
워	1142	90D4	赤
원	1141	90D3	責
월	1140	90D1	績
웠	1139	90D0	籍
웨	1138	90CF	積
웬	1137	90CE	石
위	1136	90CD	析
윈	1135	90CC	昔
유	1134	90CA	戚
육	1133	90C9	惜
율	1132	90C4	斉
융	1131	90C3	静
으	1130	90C2	青
윽	1129	90C1	醒
은	1128	90BF	請
을	1127	90BE	誓
음	1126	90BD	誠
응	1125	90BC	西
의	1124	90BB	製
이	1123	90BA	声
익	1122	90B9	聖
인	1121	90B8	精
일	1120	90B7	盛
읽	1119	90B6	生
잃	1118	90B5	牲
임	1117	90B4	清
입	1116	90B3	正
잇	1115	90B1	棲
있	1114	90B0	晴
잉	1113	90AF	星
잊	1112	90AE	整
잌	1111	90AD	政
자	1110	90AC	成
작	1109	90AB	性
잔	1108	90AA	征
잖	1107	90A8	勢
잘	1106	90A7	制
잠	1105	90A5	是
잡	1104	90A3	瀬
장	1103	90A2	世
잦	1102	90A1	寸
재	1101	909F	澄
쟁	1100	909D	雀
저	1099	9094	数
적	1098	9092	崇
전	1097	908F	随
절	1096	908E	錘
젊	1095	908C	酔
점	1094	908B	遂
접	1093	9088	粋
젓	1092	9087	睡
정	1091	9085	水
젖	1090	9084	推
제	1089	9083	帥
젠	1088	9082	垂
젤	1087	9081	吹
젬	1086	907D	図
져	1085	907B	須
졌	1084	9077	陣
조	1083	9073	尽
족	1082	9071	尋
존	1081	906E	刃
졸	1080	906C	人
좀	1079	906B	震
좁	1078	906A	針
종	1077	9069	進
좇	1076	9068	辛
좋	1075	9067	身
좌	1074	9065	親
죄	1073	905F	神
죠	1072	905E	真
주	1071	905C	申
죽	1070	905B	深
준	1069	905A	浸
줄	1068	9058	森
줌	1067	9056	新
중	1066	9055	振
줘	1065	9054	慎
줬	1064	9053	心
쥐	1063	9052	審
쥔	1062	9051	寝
쥬	1061	904E	侵
즈	1060	904D	信
즉	1059	904C	伸
즐	1058	904B	尻
즘	1057	904A	辱
증	1056	9048	食
지	1055	9047	触
직	1054	9046	色
진	1053	9045	職
질	1052	9044	織
짊	1051	9041	植
짐	1050	9040	拭
집	1049	8FFC	飾
짓	1048	8FF7	譲
징	1047	8FF6	蒸
짖	1046	8FF3	状
짚	1045	8FF0	条
짜	1044	8FEE	情
짝	1043	8FED	常
짠	1042	8FEC	嬢
짤	1040	8FE9	城
짧	1039	8FE7	冗
짭	1038	8FE6	乗
짱	1037	8FE4	丈
째	1036	8FE3	上
쨌	1035	8FE1	障
쨩	1034	8FDC	賞
쩌	1033	8FDB	象
쩍	1032	8FDA	詳
쩐	1031	8FD8	証
쩔	1030	8FD5	衝
쩡	1029	8FD0	紹
쪽	1028	8FCE	笑
쫓	1027	8FCD	章
쭈	1026	8FCC	称
쭐	1025	8FC8	省
쭤	1024	8FC6	照
쯤	1023	8FC5	焦
찌	1022	8FC4	焼
찍	1021	8FC2	渉
찔	1020	8FC1	消
찜	1019	8FC0	沼
찢	1018	8FBB	晶
차	1017	8FB9	昌
착	1016	8FB8	昇
찬	1015	8FB5	招
찮	1014	8FB3	承
찰	1013	8FB0	床
참	1012	8FAE	尚
찼	1011	8FAD	少
창	1010	8FAC	小
찾	1009	8FAB	将
채	1008	8FA5	唱
책	1007	8FA4	商
챌	1006	8FA2	召
챙	1005	8FA0	匠
챠	1004	8F9F	勝
처	1003	8F9E	償
척	1002	8F9D	傷
천	1001	8F9C	除
철	1000	8F99	徐
첩	999	8F98	序
첫	998	8F97	女
청	997	8F95	助
체	996	8F94	諸
쳇	995	8F91	書
쳐	994	8F8F	緒
쳤	993	8F8B	暑
초	992	8F8A	所
촉	991	8F89	初
촌	990	8F88	処
총	989	8F87	順
최	988	8F84	巡
추	987	8F83	純
축	986	8F82	盾
춘	985	8F80	準
출	984	8F7A	循
춤	983	8F75	瞬
춥	982	8F74	春
충	981	8F71	述
춰	980	8F70	術
취	979	8F6F	出
츄	978	8F6E	熟
츠	977	8F6C	粛
측	976	8F6B	縮
층	975	8F6A	祝
치	974	8F69	淑
칙	973	8F68	宿
친	972	8F65	銃
칠	971	8F64	重
침	970	8F63	縦
칩	969	8F62	獣
칫	968	8F5F	柔
칭	967	8F5D	従
카	966	8F5C	十
칼	965	8F5A	住
캐	964	8F57	集
커	963	8F52	蹴
컨	962	8F50	襲
컬	961	8F4F	衆
컴	960	8F4D	舟
컷	959	8F4C	臭
케	958	8F4B	習
켄	957	8F49	終
켈	956	8F48	秋
켓	955	8F47	秀
켜	954	8F46	洲
켰	953	8F45	拾
코	952	8F44	愁
콘	951	8F43	修
콤	950	8F41	就
콩	949	8F40	宗
콰	948	8EFC	周
콱	947	8EFB	収
쾅	946	8EFA	囚
쾌	945	8EF6	授
쿠	944	8EF5	寿
쿡	943	8EF4	呪
쿵	942	8EF3	受
쿼	941	8EF1	首
퀘	940	8EF0	酒
퀵	939	8EEF	趣
퀸	938	8EED	種
큐	937	8EEC	珠
크	936	8EEB	狩
큭	935	8EEA	殊
큰	934	8EE8	手
클	933	8EE7	守
큼	932	8EE6	取
키	931	8EE5	主
킨	930	8EE4	惹
킬	929	8EE3	弱
킴	928	8EE2	寂
킹	927	8EE1	若
타	926	8EDF	釈
탁	925	8ED8	借
탄	924	8ED7	邪
탈	923	8ED4	車
탐	922	8ED3	謝
탑	921	8ED2	者
탓	920	8ED0	社
탔	919	8ECE	斜
탕	918	8ECD	赦
태	917	8ECC	捨
택	916	8ECB	射
탬	915	8ECA	写
탱	914	8EC9	舎
터	913	8EC0	実
턱	912	8EBF	質
턴	911	8EBE	疾
털	910	8EBC	湿
텁	909	8EBA	室
텅	908	8EB8	失
테	907	8EB7	執
텐	906	8EB5	七
템	905	8EB2	軸
텨	904	8EAF	識
텼	903	8EAE	式
토	902	8EAD	鹿
톤	901	8EAB	辞
톨	900	8EA9	自
톰	899	8EA8	耳
톱	898	8EA6	示
통	897	8EA1	治
퇴	896	8E9F	次
투	895	8E9E	時
툼	894	8E9D	持
퉁	893	8E9C	慈
튀	892	8E9B	寺
튈	891	8E9A	字
튕	890	8E99	児
튜	889	8E97	似
트	888	8E96	事
특	887	8E95	歯
튼	886	8E93	雌
틀	885	8E91	資
틈	884	8E8E	試
티	883	8E8C	詞
틱	882	8E8B	視
틸	881	8E8A	至
팀	880	8E88	肢
파	879	8E87	紫
판	878	8E86	紙
팔	877	8E85	糸
팡	876	8E84	私
패	875	8E81	氏
팬	874	8E80	死
팰	873	8E7E	止
팻	872	8E7C	旨
팽	871	8E7B	施
퍼	870	8E78	支
펀	869	8E77	指
펄	868	8E76	思
페	867	8E75	志
펙	866	8E74	師
펴	865	8E73	市
편	864	8E72	屍
펼	863	8E71	子
폈	862	8E70	姿
평	861	8E6F	姉
폐	860	8E6E	始
포	859	8E6D	士
폭	858	8E6C	四
표	857	8E6A	史
푸	856	8E69	司
푹	855	8E68	刺
푼	854	8E67	使
풀	853	8E66	伺
품	852	8E64	仕
풍	851	8E63	残
프	850	8E62	暫
픈	849	8E61	斬
플	848	8E5E	賛
픔	847	8E5D	讃
피	846	8E5A	算
필	845	8E59	産
핌	844	8E56	桟
핏	843	8E55	散
핑	842	8E53	惨
하	841	8E52	山
학	840	8E51	参
한	839	8E4F	三
할	838	8E47	雑
함	837	8E45	殺
합	836	8E41	拶
핫	835	8E40	察
항	834	8DFB	冊
해	833	8DF7	桜
핸	832	8DF6	錯
했	831	8DF5	索
행	830	8DF4	策
향	829	8DF2	柵
허	828	8DED	削
헉	826	8DE2	坂
헌	825	8DE1	冴
험	824	8DE0	財
헛	823	8DDF	罪
헤	822	8DDE	材
헥	821	8DDD	在
헬	820	8DDB	際
헷	819	8DDA	載
혀	818	8DD9	裁
현	817	8DD7	細
혈	816	8DD5	祭
협	815	8DD4	砦
혔	814	8DD3	砕
형	813	8DD0	災
혜	812	8DCF	済
호	811	8DCE	歳
혹	810	8DCC	採
혼	809	8DCB	才
홀	808	8DCA	彩
홋	807	8DC8	妻
화	806	8DC5	最
확	805	8DC4	再
환	804	8DC3	催
활	803	8DC0	座
황	802	8DBD	鎖
회	801	8DBB	砂
획	800	8DB8	査
횡	799	8DB7	差
효	798	8DB6	左
후	797	8DB4	唆
훈	796	8DB3	叉
훌	795	8DB2	佐
훔	794	8DB1	些
훗	793	8DB0	魂
훤	792	8DAC	混
훨	791	8DAA	根
휘	790	8DA9	昆
휩	789	8DA8	昏
휴	788	8DA6	恨
흉	787	8DA5	婚
흐	786	8DA2	困
흑	785	8DA1	今
흔	784	8DA0	頃
흘	783	8D9E	込
흙	782	8D9C	骨
흠	781	8D9B	惚
흡	780	8D98	腰
흥	779	8D96	獄
흩	778	8D95	黒
희	777	8D93	酷
흰	776	8D91	国
히	775	8D90	告
힌	774	8D8F	刻
힐	773	8D8E	克
힘	772	8D8C	轟
