path	lba	size	oob
/VOICE1/507.ADP	170423	156640	0
/VOICE1/506.ADP	170500	22474	0
/VOICE1/503.ADP	170511	163512	0
/VOICE1/502.ADP	170591	23962	0
/VOICE1/500.ADP	170603	199090	0
/VOICE2/553.ADP	170701	26456	0
/VOICE2/550.ADP	170714	54552	0
/VOICE2/552.ADP	170741	24612	0
/VOICE2/551.ADP	170754	10400	0
/VOICE2/563.ADP	170760	152820	0
/VOICE2/562.ADP	170835	134848	0
/VOICE2/561.ADP	170901	126998	0
/VOICE2/560.ADP	170964	26794	0
/VOICE2/559.ADP	170978	14302	0
/VOICE2/558.ADP	170985	83218	0
/VOICE2/556.ADP	171026	15556	0
/VOICE2/557.ADP	171034	14906	0
/VOICE2/555.ADP	171042	60312	0
/VOICE2/554.ADP	171072	60358	0
/VOICE2/574.ADP	171102	175312	0
/VOICE2/573.ADP	171188	56410	0
/VOICE2/572.ADP	171216	166380	0
/VOICE2/571.ADP	171298	56038	0
/VOICE2/570.ADP	171326	159832	0
/VOICE2/569.ADP	171405	77586	0
/VOICE2/568.ADP	171443	122494	0
/VOICE2/567.ADP	171503	26050	0
